iter	Passed	Remaining
0	148	148391
1	168	83873
2	184	61232
3	199	49650
4	214	42676
5	229	38043
6	247	35063
7	262	32516
8	280	30871
9	295	29299
10	311	28045
11	327	26929
12	342	26002
13	357	25177
14	389	25570
15	413	25400
16	434	25099
17	454	24772
18	473	24443
19	491	24087
20	509	23772
21	527	23454
22	542	23060
23	558	22706
24	573	22371
25	588	22060
26	603	21765
27	618	21487
28	634	21235
29	649	21007
30	664	20775
31	679	20551
32	694	20345
33	709	20153
34	725	19991
35	740	19829
36	755	19668
37	771	19526
38	787	19410
39	803	19287
40	819	19164
41	835	19065
42	852	18964
43	868	18870
44	884	18762
45	899	18651
46	934	18949
47	969	19219
48	998	19376
49	1021	19413
50	1042	19390
51	1061	19357
52	1081	19323
53	1099	19259
54	1117	19199
55	1136	19150
56	1154	19093
57	1171	19025
58	1187	18940
59	1205	18892
60	1227	18901
61	1245	18846
62	1262	18775
63	1278	18699
64	1296	18643
65	1313	18581
66	1330	18532
67	1348	18487
68	1366	18442
69	1384	18388
70	1401	18342
71	1419	18294
72	1436	18240
73	1453	18191
74	1470	18140
75	1488	18098
76	1506	18058
77	1524	18019
78	1541	17969
79	1559	17934
80	1576	17887
81	1594	17849
82	1611	17808
83	1630	17777
84	1646	17723
85	1664	17684
86	1681	17645
87	1698	17598
88	1715	17564
89	1736	17555
90	1757	17559
91	1775	17525
92	1794	17505
93	1812	17465
94	1829	17427
95	1846	17388
96	1863	17347
97	1881	17317
98	1900	17293
99	1919	17276
100	1940	17269
101	1959	17252
102	1977	17220
103	1996	17197
104	2014	17170
105	2034	17155
106	2053	17139
107	2071	17112
108	2087	17067
109	2104	17030
110	2120	16986
111	2138	16953
112	2158	16939
113	2175	16906
114	2192	16872
115	2209	16839
116	2226	16801
117	2242	16764
118	2259	16727
119	2277	16705
120	2297	16690
121	2317	16676
122	2336	16661
123	2356	16644
124	2377	16640
125	2393	16604
126	2411	16577
127	2428	16541
128	2445	16511
129	2462	16476
130	2479	16449
131	2497	16423
132	2516	16403
133	2533	16373
134	2558	16392
135	2576	16369
136	2594	16341
137	2613	16322
138	2633	16310
139	2655	16309
140	2673	16287
141	2691	16265
142	2717	16286
143	2737	16272
144	2755	16249
145	2773	16221
146	2789	16185
147	2805	16153
148	2822	16121
149	2839	16090
150	2855	16052
151	2871	16022
152	2888	15989
153	2906	15965
154	2922	15932
155	2938	15900
156	2954	15865
157	2970	15831
158	2986	15796
159	3003	15766
160	3019	15734
161	3035	15703
162	3051	15670
163	3067	15637
164	3082	15601
165	3098	15565
166	3114	15532
167	3130	15502
168	3146	15473
169	3162	15439
170	3177	15406
171	3193	15373
172	3212	15358
173	3231	15342
174	3251	15326
175	3316	15525
176	3400	15810
177	3430	15841
178	3459	15867
179	3476	15836
180	3493	15806
181	3509	15773
182	3526	15742
183	3542	15708
184	3558	15678
185	3574	15642
186	3591	15614
187	3607	15582
188	3624	15551
189	3639	15517
190	3656	15487
191	3672	15455
192	3689	15425
193	3704	15389
194	3718	15352
195	3733	15315
196	3753	15299
197	3771	15274
198	3788	15250
199	3804	15218
200	3820	15186
201	3834	15149
202	3850	15116
203	3866	15085
204	3881	15052
205	3895	15015
206	3910	14981
207	3926	14950
208	3941	14915
209	3956	14883
210	3972	14854
211	3988	14823
212	4003	14790
213	4019	14762
214	4035	14732
215	4052	14708
216	4068	14679
217	4084	14651
218	4099	14619
219	4115	14592
220	4131	14564
221	4148	14538
222	4164	14509
223	4181	14486
224	4196	14456
225	4213	14430
226	4229	14402
227	4246	14377
228	4262	14350
229	4279	14326
230	4295	14298
231	4311	14273
232	4327	14245
233	4343	14219
234	4359	14192
235	4375	14165
236	4392	14139
237	4408	14113
238	4423	14085
239	4439	14059
240	4455	14030
241	4471	14004
242	4486	13976
243	4501	13948
244	4517	13921
245	4533	13896
246	4549	13868
247	4564	13840
248	4579	13811
249	4594	13784
250	4610	13759
251	4626	13731
252	4641	13703
253	4656	13676
254	4671	13649
255	4686	13621
256	4702	13593
257	4716	13565
258	4732	13539
259	4748	13513
260	4763	13488
261	4780	13464
262	4795	13439
